id	name	chi2	pval
219	4.1-ngram.next_system_utterance__food like	75.9773	0.0000
220	4.1-ngram.next_system_utterance__type food like	75.9773	0.0000
221	4.1-ngram.next_system_utterance__type food	75.9773	0.0000
222	4.1-ngram.next_system_utterance__type	75.9773	0.0000
223	4.1-ngram.next_system_utterance__like example	75.9773	0.0000
224	5-phrase_feature__noun_phrases__current_user_utterance__looking	75.8982	0.0000
225	7-syntactic_feature__subj_word__next_system_utterance__Carringtons	75.1421	0.0000
226	5-phrase_feature__noun_phrases__next_system_utterance__chesterton	74.8851	0.0000
227	5-phrase_feature__noun_phrases__next_system_utterance__trumpington_area	74.8168	0.0000
228	5-phrase_feature__noun_phrases__next_system_utterance__castle_hill	74.7666	0.0000
229	7-syntactic_feature__root_word__current_user_utterance__television	74.6928	0.0000
230	5-phrase_feature__noun_phrases__next_system_utterance__clare	73.9742	0.0000
231	5-phrase_feature__noun_phrases__next_system_utterance__hall	73.7391	0.0000
232	6-entity_feature__entity__next_system_utterance__Castle_Hill_LOCATION	72.4859	0.0000
233	6-entity_feature__entity__next_system_utterance__Trumpington_LOCATION	71.8018	0.0000
234	7-syntactic_feature__subj_word__next_system_utterance__Bar	70.5448	0.0000
235	5-phrase_feature__noun_phrases__next_system_utterance__new_chesterton	70.5416	0.0000
236	6-entity_feature__entity__next_system_utterance__New_Chesterton_LOCATION	70.2448	0.0000
237	4.1-ngram.next_system_utterance__phone number	69.9966	0.0000
238	4.1-ngram.next_system_utterance__number	69.9966	0.0000
239	4.1-ngram.next_system_utterance__phone	69.9966	0.0000
240	8.1-lda_feature.next_system_utterance__topic_24	69.9721	0.0000
241	4.1-ngram.next_user_utterance__matter	69.7186	0.0000
242	6-entity_feature__entity__next_system_utterance__Indian_MISC	69.3871	0.0000
243	5-phrase_feature__noun_phrases__current_user_utterance__price	69.3442	0.0000
244	5-phrase_feature__noun_phrases__next_system_utterance__hill	69.2038	0.0000
245	7-syntactic_feature__root_word__current_user_utterance__im	68.8742	0.0000
246	2.1-user_action_words.current_user_utterance__price	68.6925	0.0000
247	5-phrase_feature__noun_phrases__next_user_utterance__television	68.3676	0.0000
248	5-phrase_feature__noun_phrases__next_system_utterance__new	68.3559	0.0000
249	5-phrase_feature__noun_phrases__next_system_utterance__serving	68.3417	0.0000
250	8.1-lda_feature.next_system_utterance__topic_40	68.3067	0.0000
251	6-entity_feature__entity__next_system_utterance__3_pounds_MONEY	68.2655	0.0000
