id,name,prefix,chi2,pval
9524,b'5-phrase_feature__noun_phrases__current_user_utterance__girton_im',b'5',1.1102,0.7746
9525,b'5-phrase_feature__noun_phrases__current_user_utterance__girton_im_looking',b'5',1.1102,0.7746
9526,b'5-phrase_feature__noun_phrases__current_user_utterance__giv',b'5',1.1102,0.7746
9527,b'5-phrase_feature__noun_phrases__current_user_utterance__going',b'5',1.1102,0.7746
9528,b'5-phrase_feature__noun_phrases__current_user_utterance__griton',b'5',1.1102,0.7746
9529,b'5-phrase_feature__noun_phrases__current_user_utterance__high_price_range',b'5',1.1102,0.7746
9530,b'5-phrase_feature__noun_phrases__current_user_utterance__hil',b'5',1.1102,0.7746
9531,b'7-syntactic_feature__root_word__next_user_utterance__sell',b'7',1.1102,0.7746
9532,b'5-phrase_feature__noun_phrases__current_user_utterance__im',b'5',1.1102,0.7746
9533,b'5-phrase_feature__noun_phrases__current_user_utterance__im_loo',b'5',1.1102,0.7746
9534,b'5-phrase_feature__noun_phrases__current_user_utterance__indian_food',b'5',1.1102,0.7746
9535,b'5-phrase_feature__noun_phrases__current_user_utterance__city_area',b'5',1.1102,0.7746
9536,b'5-phrase_feature__noun_phrases__current_user_utterance__indian_restaurant',b'5',1.1102,0.7746
9537,b'5-phrase_feature__noun_phrases__current_user_utterance__inexpensive_restaurant',b'5',1.1102,0.7746
9538,b'7-syntactic_feature__subj_word__next_system_utterance__nero',b'7',1.1102,0.7746
9539,b'5-phrase_feature__noun_phrases__current_user_utterance__internet',b'5',1.1102,0.7746
9540,b'5-phrase_feature__noun_phrases__current_user_utterance__jesus_college',b'5',1.1102,0.7746
9541,b'7-syntactic_feature__root_word__next_user_utterance__said',b'7',1.1102,0.7746
9542,b'5-phrase_feature__noun_phrases__current_user_utterance__lion',b'5',1.1102,0.7746
9543,b'5-phrase_feature__noun_phrases__current_user_utterance__lo',b'5',1.1102,0.7746
9544,b'7-syntactic_feature__root_word__next_user_utterance__right',b'7',1.1102,0.7746
9545,b'5-phrase_feature__noun_phrases__current_user_utterance__moderate_coffee_shop',b'5',1.1102,0.7746
9546,b'5-phrase_feature__noun_phrases__current_user_utterance__moderate_range',b'5',1.1102,0.7746
9547,b'5-phrase_feature__noun_phrases__current_user_utterance__girto',b'5',1.1102,0.7746
9548,b'5-phrase_feature__noun_phrases__current_user_utterance__french_restaurants',b'5',1.1102,0.7746
9549,b'5-phrase_feature__noun_phrases__current_user_utterance__free_restaurant',b'5',1.1102,0.7746
9550,b'5-phrase_feature__noun_phrases__current_user_utterance__food_restaurants',b'5',1.1102,0.7746
9551,b'5-phrase_feature__noun_phrases__current_user_utterance__city_center',b'5',1.1102,0.7746
9552,b'5-phrase_feature__noun_phrases__current_user_utterance__city_centre_area',b'5',1.1102,0.7746
9553,b'7-syntactic_feature__root_word__next_user_utterance__televis',b'7',1.1102,0.7746
9554,b'7-syntactic_feature__root_word__next_user_utterance__telephon',b'7',1.1102,0.7746
9555,b'7-syntactic_feature__subj_word__next_system_utterance__fyne',b'7',1.1102,0.7746
9556,b'5-phrase_feature__noun_phrases__current_user_utterance__clicking_price',b'5',1.1102,0.7746
9557,b'5-phrase_feature__noun_phrases__current_user_utterance__clicking_restaurant',b'5',1.1102,0.7746
9558,b'5-phrase_feature__noun_phrases__current_user_utterance__clicking_romsey',b'5',1.1102,0.7746
9559,b'7-syntactic_feature__root_word__next_user_utterance__take',b'7',1.1102,0.7746
9560,b'5-phrase_feature__noun_phrases__current_user_utterance__contemporary_cuisine',b'5',1.1102,0.7746
9561,b'5-phrase_feature__noun_phrases__current_user_utterance__contemporary_restaurant_thats',b'5',1.1102,0.7746
9562,b'5-phrase_feature__noun_phrases__current_user_utterance__continental_re',b'5',1.1102,0.7746
9563,b'5-phrase_feature__noun_phrases__current_user_utterance__continental_restaurant',b'5',1.1102,0.7746
9564,b'5-phrase_feature__noun_phrases__current_user_utterance__downtown',b'5',1.1102,0.7746
9565,b'5-phrase_feature__noun_phrases__current_user_utterance__east_asian_restaurant',b'5',1.1102,0.7746
9566,b'5-phrase_feature__noun_phrases__current_user_utterance__east_asian_restaurants',b'5',1.1102,0.7746
9567,b'5-phrase_feature__noun_phrases__current_user_utterance__english_restaurants',b'5',1.1102,0.7746
9568,b'5-phrase_feature__noun_phrases__current_user_utterance__expensive_english_restaurant',b'5',1.1102,0.7746
9569,b'5-phrase_feature__noun_phrases__current_user_utterance__expensive_price',b'5',1.1102,0.7746
9570,b'7-syntactic_feature__root_word__next_user_utterance__sound',b'7',1.1102,0.7746
9571,b'5-phrase_feature__noun_phrases__current_user_utterance__fitzwilliam_museum',b'5',1.1102,0.7746
9572,b'5-phrase_feature__noun_phrases__current_user_utterance__food',b'5',1.1102,0.7746
9573,b'5-phrase_feature__noun_phrases__current_user_utterance__food_restaurant_w',b'5',1.1102,0.7746
9574,b'7-syntactic_feature__subj_word__next_system_utterance__teri',b'7',1.1102,0.7746
9575,b'5-phrase_feature__noun_phrases__current_user_utterance__goo',b'5',1.1102,0.7746
9576,b'7-syntactic_feature__subj_word__current_user_utterance__la',b'7',1.1102,0.7746
9577,b'7-syntactic_feature__subj_word__current_user_utterance__famili',b'7',1.1102,0.7746
9578,b'7-syntactic_feature__root_word__next_user_utterance__fine',b'7',1.1102,0.7746
9579,b'7-syntactic_feature__root_word__next_user_utterance__french',b'7',1.1102,0.7746
9580,b'7-syntactic_feature__root_word__next_user_utterance__centr',b'7',1.1102,0.7746
9581,b'7-syntactic_feature__root_word__next_user_utterance__fresh',b'7',1.1102,0.7746
9582,b'7-syntactic_feature__root_word__next_system_utterance__street',b'7',1.1102,0.7746
9583,b'7-syntactic_feature__root_word__next_system_utterance__17',b'7',1.1102,0.7746
9584,b'7-syntactic_feature__root_word__next_system_utterance__2',b'7',1.1102,0.7746
9585,b'7-syntactic_feature__root_word__next_system_utterance__23',b'7',1.1102,0.7746
9586,b'7-syntactic_feature__root_word__next_system_utterance__4-6',b'7',1.1102,0.7746
9587,b'7-syntactic_feature__subj_word__current_user_utterance__internet',b'7',1.1102,0.7746
9588,b'7-syntactic_feature__root_word__next_system_utterance__43-45',b'7',1.1102,0.7746
9589,b'4.1-ngram.next_system_utterance__yippee noodle',b'4.1',1.1102,0.7746
9590,b'7-syntactic_feature__root_word__next_system_utterance__church',b'7',1.1102,0.7746
9591,b'7-syntactic_feature__root_word__next_system_utterance__spanish',b'7',1.1102,0.7746
9592,b'7-syntactic_feature__subj_word__current_user_utterance__king',b'7',1.1102,0.7746
9593,b'7-syntactic_feature__root_word__next_user_utterance__gir',b'7',1.1102,0.7746
9594,b'7-syntactic_feature__subj_word__current_user_utterance__post',b'7',1.1102,0.7746
9595,b'5-phrase_feature__noun_phrases__next_system_utterance__kingston',b'5',1.1102,0.7746
9596,b'7-syntactic_feature__subj_word__current_user_utterance__name',b'7',1.1102,0.7746
9597,b'5-phrase_feature__noun_phrases__next_system_utterance__kettle',b'5',1.1102,0.7746
9598,b'7-syntactic_feature__root_word__next_user_utterance__and',b'7',1.1102,0.7746
9599,b'7-syntactic_feature__subj_word__current_user_utterance__giv',b'7',1.1102,0.7746
9600,b'7-syntactic_feature__root_word__next_user_utterance__allow',b'7',1.1102,0.7746
9601,b'5-phrase_feature__noun_phrases__next_system_utterance__king_street',b'5',1.1102,0.7746
9602,b'7-syntactic_feature__subj_word__next_system_utterance__uno',b'7',1.1102,0.7746
9603,b'7-syntactic_feature__root_word__next_system_utterance__trumpington',b'7',1.1102,0.7746
9604,b'7-syntactic_feature__root_word__next_system_utterance__tradit',b'7',1.1102,0.7746
9605,b'5-phrase_feature__noun_phrases__next_system_utterance__portraits',b'5',1.1102,0.7746
9606,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb1_1dg',b'5',1.1102,0.7746
9607,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb1_1lh',b'5',1.1102,0.7746
9608,b'7-syntactic_feature__root_word__next_system_utterance__12',b'7',1.1102,0.7746
9609,b'7-syntactic_feature__subj_word__current_user_utterance__number',b'7',1.1102,0.7746
9610,b'7-syntactic_feature__root_word__next_user_utterance__ah',b'7',1.1102,0.7746
9611,b'7-syntactic_feature__root_word__next_user_utterance__continent',b'7',1.1102,0.7746
9612,b'7-syntactic_feature__root_word__next_user_utterance__addenbrook',b'7',1.1102,0.7746
9613,b'7-syntactic_feature__root_word__next_user_utterance__church',b'7',1.1102,0.7746
